epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,21567.5,1.23495,0.71736,1.38353,0.79651,0.89387,0.86773,0.51516,1.35529,0.69069,1.57355,0.000769,0.000769,0.000769
44,22064.7,1.22122,0.73012,1.39439,0.83681,0.8551,0.84281,0.50513,1.46233,0.72641,1.64647,0.0007635,0.0007635,0.0007635
45,22564.2,1.23933,0.74982,1.41827,0.87121,0.89053,0.8839,0.5019,1.46145,0.66544,1.64,0.000758,0.000758,0.000758
46,23061.3,1.20613,0.70359,1.39233,0.8312,0.85379,0.86058,0.52625,1.4324,0.68197,1.61492,0.0007525,0.0007525,0.0007525
47,23559.6,1.19703,0.74247,1.38444,0.75512,0.90032,0.85883,0.50877,1.4423,0.67963,1.61711,0.000747,0.000747,0.000747
48,24058.1,1.20056,0.71004,1.37315,0.8126,0.87532,0.86401,0.48424,1.59205,0.70617,1.71856,0.0007415,0.0007415,0.0007415
49,24555.8,1.21392,0.72727,1.40256,0.82331,0.87831,0.87258,0.51753,1.48606,0.67827,1.6572,0.000736,0.000736,0.000736
50,25055.9,1.18216,0.67595,1.36526,0.85037,0.87988,0.87579,0.51823,1.43065,0.69444,1.63379,0.0007305,0.0007305,0.0007305
51,25553.1,1.22618,0.71517,1.39182,0.78582,0.87374,0.85134,0.50162,1.46697,0.6937,1.67539,0.000725,0.000725,0.000725
52,26050.8,1.19676,0.70327,1.38266,0.82289,0.88466,0.87775,0.51543,1.51065,0.66272,1.69266,0.0007195,0.0007195,0.0007195
53,26550,1.20317,0.68297,1.38193,0.8018,0.89289,0.86521,0.51445,1.45175,0.67103,1.65679,0.000714,0.000714,0.000714
54,27054.4,1.19245,0.70597,1.36617,0.86875,0.85017,0.85475,0.4799,1.57771,0.69966,1.73662,0.0007085,0.0007085,0.0007085
55,27564.4,1.19708,0.7247,1.38167,0.81628,0.85237,0.85016,0.50448,1.47345,0.6904,1.69059,0.000703,0.000703,0.000703
56,28084,1.18621,0.69467,1.35945,0.78525,0.85674,0.86495,0.50083,1.47792,0.68531,1.70669,0.0006975,0.0006975,0.0006975
57,28583.3,1.194,0.69181,1.36237,0.85628,0.89299,0.88354,0.50179,1.53561,0.64898,1.72665,0.000692,0.000692,0.000692
58,29094.3,1.14278,0.64316,1.33043,0.87742,0.88395,0.88063,0.4963,1.53547,0.67203,1.72418,0.0006865,0.0006865,0.0006865
59,29602.9,1.16114,0.67528,1.36691,0.85061,0.8907,0.85867,0.50273,1.48366,0.64464,1.6844,0.000681,0.000681,0.000681
60,30108.6,1.1601,0.68542,1.3602,0.82824,0.88068,0.85973,0.51398,1.48004,0.65529,1.66066,0.0006755,0.0006755,0.0006755
61,30606.5,1.14374,0.66116,1.37485,0.9049,0.85627,0.88638,0.53022,1.43039,0.65287,1.62223,0.00067,0.00067,0.00067
62,31103.9,1.14166,0.67744,1.35079,0.88663,0.86459,0.87549,0.52688,1.43815,0.64573,1.6054,0.0006645,0.0006645,0.0006645
63,31601.8,1.13547,0.65342,1.34217,0.86742,0.87292,0.87534,0.51158,1.47929,0.65219,1.64054,0.000659,0.000659,0.000659
64,32098.6,1.126,0.64659,1.32627,0.86092,0.87298,0.87178,0.5314,1.46698,0.67179,1.63433,0.0006535,0.0006535,0.0006535
65,32596,1.14165,0.63899,1.31055,0.87149,0.87702,0.87,0.52182,1.4832,0.66746,1.67976,0.000648,0.000648,0.000648
66,33093.3,1.16378,0.64452,1.34377,0.81392,0.87446,0.86029,0.5318,1.40746,0.64536,1.62812,0.0006425,0.0006425,0.0006425
67,33590.5,1.1273,0.63948,1.33646,0.86262,0.85744,0.88138,0.49895,1.56927,0.68917,1.73369,0.000637,0.000637,0.000637
68,34085.2,1.16451,0.66657,1.38356,0.88278,0.88068,0.8845,0.50763,1.51117,0.65559,1.67893,0.0006315,0.0006315,0.0006315
69,34581.1,1.12066,0.62602,1.31509,0.88027,0.86711,0.87372,0.51033,1.47743,0.66802,1.68372,0.000626,0.000626,0.000626
70,35079.4,1.11928,0.64156,1.31958,0.88015,0.89815,0.87875,0.5215,1.47464,0.64874,1.68679,0.0006205,0.0006205,0.0006205
71,35578,1.12135,0.64587,1.36046,0.87503,0.86893,0.87839,0.50336,1.54367,0.68246,1.71704,0.000615,0.000615,0.000615
72,36089.8,1.12606,0.65538,1.37772,0.89126,0.87094,0.87701,0.50475,1.49243,0.6448,1.69791,0.0006095,0.0006095,0.0006095
73,36587.2,1.11123,0.60459,1.31648,0.84031,0.86219,0.85595,0.51535,1.48682,0.66691,1.69316,0.000604,0.000604,0.000604
74,37087.7,1.11919,0.62871,1.33799,0.87536,0.87968,0.87339,0.5279,1.4172,0.64191,1.62813,0.0005985,0.0005985,0.0005985
75,37590.6,1.11567,0.60467,1.31297,0.84727,0.88197,0.86435,0.5338,1.38658,0.61966,1.62487,0.000593,0.000593,0.000593
76,38087.3,1.12967,0.63118,1.34603,0.8844,0.89343,0.89753,0.5377,1.39524,0.63016,1.60841,0.0005875,0.0005875,0.0005875
77,38584.8,1.08134,0.61284,1.31189,0.89419,0.87905,0.88346,0.52698,1.46753,0.64008,1.6391,0.000582,0.000582,0.000582
78,39080.7,1.06455,0.60724,1.30307,0.84475,0.89986,0.85883,0.52581,1.41072,0.64611,1.65231,0.0005765,0.0005765,0.0005765
79,39582,1.07975,0.60311,1.32245,0.88792,0.86999,0.89143,0.52865,1.4549,0.62842,1.66088,0.000571,0.000571,0.000571
80,40094.4,1.09518,0.59804,1.30474,0.88329,0.87831,0.88284,0.52468,1.48892,0.65002,1.67462,0.0005655,0.0005655,0.0005655
81,40622.2,1.07319,0.58228,1.29847,0.8894,0.89512,0.89989,0.53569,1.43185,0.62465,1.6387,0.00056,0.00056,0.00056
82,41117.2,1.06671,0.58949,1.28218,0.87277,0.87922,0.88871,0.5087,1.4615,0.63455,1.67268,0.0005545,0.0005545,0.0005545
83,41613.6,1.05705,0.59201,1.28857,0.85691,0.88248,0.87515,0.52696,1.44379,0.62829,1.66776,0.000549,0.000549,0.000549
84,42112.6,1.04385,0.58137,1.30287,0.895,0.90107,0.89319,0.5452,1.40463,0.603,1.63505,0.0005435,0.0005435,0.0005435
